RAh,RAm,RAs,DE-,DEd,DEm,DEs,PosErr,z,e_z,source,Rmag,e_Rmag
,,,,,,,arcsec,---,---,---,mag,mag
09,15,50.667,+,29,56,19.71,0.5,0.396075,0.000022,DEIMOS 2011A,20.048,0.003
09,15,50.743,+,29,49,36.02,0.5,0.185960,0.000058,DEIMOS 2011A,21.110,0.006
09,15,50.766,+,29,54,49.85,0.5,0.500041,0.000039,DEIMOS 2012B,21.212,0.006
09,15,50.870,+,29,48,21.39,0.5,0.185098,0.000011,DEIMOS 2011A,18.025,0.001
09,15,50.893,+,29,48,04.41,0.5,0.696285,0.000059,DEIMOS 2011A,22.313,0.015
09,15,50.893,+,29,58,56.05,0.5,0.352665,0.000007,DEIMOS 2011A,22.049,0.021
09,15,51.027,+,29,48,22.03,1.27,0.388370,0.000107,DEIMOS 2011A,NULL,NULL
09,15,51.092,+,29,57,43.53,0.5,0.519048,0.000022,DEIMOS 2012B,23.239,0.031
09,15,51.142,+,29,46,14.41,0.5,0.904317,0.000025,DEIMOS 2011A,23.287,0.056
09,15,51.229,+,29,58,26.29,0.5,0.524207,0.000021,DEIMOS 2012B,22.832,0.024
09,15,51.278,+,29,48,16.23,0.5,0.187303,0.000051,DEIMOS 2011A,21.135,0.007
09,15,51.328,+,29,57,55.54,0.5,0.504337,0.000021,DEIMOS 2012B,21.897,0.012
09,15,51.385,+,29,47,10.60,0.5,0.590597,0.000012,DEIMOS 2011A,23.264,0.032
09,15,51.417,+,29,48,53.99,0.5,0.181863,0.000004,DEIMOS 2011A,18.644,0.001
09,15,51.442,+,29,58,26.23,0.5,0.232610,0.000107,DEIMOS 2012B,23.533,0.037
09,15,51.462,+,29,58,52.86,1.27,0.352620,0.000107,DEIMOS 2011A,NULL,NULL
09,15,51.635,+,29,49,09.15,0.5,0.994103,0.000063,DEIMOS 2011A,22.444,0.017
09,15,51.796,+,29,55,44.17,0.5,0.527265,0.000148,DEIMOS 2011A,21.366,0.006
09,15,51.933,+,29,55,12.19,0.5,0.500149,0.000056,DEIMOS 2011A,22.579,0.018
09,15,51.948,+,29,53,56.64,0.5,0.662713,0.000022,DEIMOS 2011A,22.402,0.017
09,15,52.307,+,29,49,09.72,0.5,0.265894,0.000007,DEIMOS 2011A,21.542,0.012
09,15,52.347,+,29,48,52.37,0.5,0.994149,0.000015,DEIMOS 2011A,23.044,0.026
09,15,52.383,+,29,46,36.87,0.5,0.265889,0.000011,DEIMOS 2011A,21.329,0.008
09,15,52.390,+,29,50,08.04,0.5,0.527256,0.000067,DEIMOS 2011A,22.478,0.016
09,15,52.414,+,29,53,54.09,0.5,0.499781,0.000083,DEIMOS 2011A,20.805,0.006
09,15,52.763,+,29,47,07.46,0.5,0.242834,0.000006,DEIMOS 2011A,22.215,0.013
09,15,52.835,+,29,44,40.55,0.5,1.012670,0.000025,DEIMOS 2011A,22.111,0.018
09,15,53.022,+,29,57,28.25,0.5,0.504186,0.000018,DEIMOS 2011A,22.098,0.013
09,15,53.031,+,29,47,13.57,0.5,0.184892,0.000013,DEIMOS 2011A,19.474,0.002
09,15,53.066,+,29,56,11.80,0.5,0.687099,0.000016,DEIMOS 2011A,21.764,0.009
09,15,53.161,+,29,52,50.73,0.5,0.662299,0.000034,DEIMOS 2011A,22.553,0.023
09,15,53.243,+,29,55,35.42,0.5,0.526739,0.000006,DEIMOS 2012B,22.685,0.023
09,15,53.266,+,29,54,49.30,0.5,0.504306,0.000018,DEIMOS 2011A,19.217,0.002
09,15,53.385,+,29,48,02.55,0.5,0.464423,0.000016,DEIMOS 2011A,22.151,0.015
09,15,53.390,+,29,48,45.63,0.5,1.116310,0.000056,DEIMOS 2011A,23.490,0.044
09,15,53.505,+,29,58,25.76,0.5,0.563103,0.000023,DEIMOS 2012B,21.506,0.009
09,15,53.630,+,29,57,28.63,0.5,0.503231,0.000013,DEIMOS 2011A,22.588,0.018
09,15,53.649,+,29,56,45.70,0.5,0.241948,0.000001,DEIMOS 2011A,20.330,0.003
09,15,53.985,+,29,54,39.70,0.5,0.504213,0.000015,DEIMOS 2012B,21.331,0.008
09,15,54.268,+,29,46,11.63,0.5,0.533418,0.000017,DEIMOS 2011A,22.032,0.011
09,15,54.445,+,29,52,27.72,0.5,0.452194,0.000006,DEIMOS 2011A,22.412,0.015
09,15,54.459,+,29,57,32.25,0.5,0.652483,0.000089,DEIMOS 2011A,22.113,0.015
09,15,54.511,+,29,55,19.50,0.5,0.501442,0.000038,DEIMOS 2011A,19.968,0.003
09,15,54.562,+,29,57,49.75,0.5,0.417640,0.000107,DEIMOS 2012B,23.733,0.044
09,15,54.566,+,29,57,56.29,0.5,0.539096,0.000011,DEIMOS 2011A,22.370,0.021
09,15,54.782,+,29,45,53.33,0.5,0.625038,0.000007,DEIMOS 2011A,21.224,0.007
09,15,54.785,+,29,55,55.05,0.5,0.501785,0.000016,DEIMOS 2011A,21.642,0.009
09,15,54.825,+,29,45,46.16,0.5,0.506946,0.000040,DEIMOS 2011A,20.963,0.006
09,15,54.972,+,29,57,48.67,0.5,0.538640,0.000048,DEIMOS 2012B,21.949,0.012
09,15,55.064,+,29,47,16.88,0.5,0.453501,0.000031,DEIMOS 2011A,22.097,0.013
09,15,55.190,+,29,55,22.13,0.5,0.024417,0.000010,DEIMOS 2012B,20.816,0.008
09,15,55.221,+,29,55,05.90,0.5,0.879694,0.000057,DEIMOS 2012B,21.760,0.011
09,15,55.300,+,29,53,53.01,0.5,0.591951,0.000025,DEIMOS 2012B,23.468,0.033
09,15,55.445,+,29,54,12.19,0.5,0.226260,0.000003,DEIMOS 2011A,21.961,0.011
09,15,55.507,+,29,46,14.74,0.5,0.748048,0.000082,DEIMOS 2011A,20.657,0.004
09,15,55.631,+,29,54,54.47,0.5,0.503997,0.000026,DEIMOS 2011A,20.764,0.007
09,15,55.653,+,29,46,34.67,0.5,0.898636,0.000075,DEIMOS 2011A,22.024,0.015
09,15,55.676,+,29,46,26.85,0.5,0.902479,0.000094,DEIMOS 2011A,22.578,0.025
09,15,55.910,+,29,54,53.40,0.5,0.527497,0.000013,DEIMOS 2012B,22.264,0.019
09,15,56.122,+,29,48,00.83,0.5,0.535509,0.000066,DEIMOS 2011A,21.971,0.013
09,15,56.143,+,29,54,31.19,0.5,0.592463,0.000047,DEIMOS 2011A,21.061,0.005
09,15,56.206,+,29,49,45.02,0.5,0.591264,0.000059,DEIMOS 2011A,21.414,0.011
09,15,56.245,+,29,56,32.15,0.5,0.618014,0.000031,DEIMOS 2012B,20.823,0.006
09,15,56.472,+,29,52,34.71,0.5,0.292395,0.000107,DEIMOS 2011A,21.170,0.007
09,15,56.546,+,29,54,24.04,0.5,0.594010,0.000084,DEIMOS 2011A,21.782,0.013
09,15,56.617,+,29,50,21.70,0.5,0.521489,0.000030,DEIMOS 2011A,22.242,0.016
09,15,56.647,+,29,49,16.14,0.5,0.609533,0.000067,DEIMOS 2011A,22.313,0.017
09,15,56.697,+,29,49,54.62,0.5,0.535797,0.000042,DEIMOS 2011A,21.265,0.008
09,15,56.699,+,29,44,32.88,0.5,0.577707,0.000008,DEIMOS 2011A,22.736,0.021
09,15,56.739,+,29,45,12.50,0.5,0.531234,0.000016,DEIMOS 2011A,22.413,0.018
09,15,57.010,+,29,52,48.76,0.5,0.536813,0.000006,DEIMOS 2011A,21.256,0.006
09,15,57.225,+,29,58,05.35,0.5,0.523261,0.000011,DEIMOS 2012B,21.593,0.009
09,15,57.349,+,29,46,27.97,0.5,0.901382,0.000022,DEIMOS 2011A,22.427,0.019
09,15,57.361,+,29,47,21.78,0.5,0.419856,0.000012,DEIMOS 2011A,22.371,0.016
09,15,57.416,+,29,51,23.34,0.5,0.529459,0.000021,DEIMOS 2011A,20.453,0.004
09,15,57.429,+,29,44,36.81,0.5,0.906362,0.000003,DEIMOS 2011A,21.925,0.013
09,15,57.431,+,29,44,45.48,0.5,0.179971,0.000020,DEIMOS 2011A,23.072,0.032
09,15,57.526,+,29,44,56.23,0.5,0.532040,0.000071,DEIMOS 2011A,22.548,0.021
09,15,57.548,+,29,45,20.61,0.5,0.180091,0.000003,DEIMOS 2011A,21.337,0.009
09,15,57.701,+,29,52,35.62,0.5,0.365131,0.000014,DEIMOS 2011A,22.127,0.015
09,15,57.721,+,29,45,02.97,0.5,0.531529,0.000010,DEIMOS 2011A,22.528,0.023
09,15,57.770,+,29,54,14.25,0.5,0.535752,0.000043,DEIMOS 2012B,21.716,0.008
09,15,57.785,+,29,53,51.57,0.5,0.526142,0.000012,DEIMOS 2012B,22.886,0.024
09,15,57.855,+,29,57,06.73,1.27,0.671597,0.000046,DEIMOS 2011A,NULL,NULL
09,15,57.916,+,29,54,26.72,0.5,0.862762,0.000045,DEIMOS 2011A,22.482,0.022
09,15,58.112,+,29,47,56.47,0.5,0.424511,0.000007,DEIMOS 2011A,20.758,0.005
09,15,58.189,+,29,50,33.13,0.5,0.589114,0.000039,DEIMOS 2011A,22.092,0.014
09,15,58.222,+,29,47,39.96,0.5,0.768969,0.000055,DEIMOS 2011A,22.362,0.017
09,15,58.291,+,29,55,42.27,0.5,0.354156,0.000004,DEIMOS 2011A,21.672,0.008
09,15,58.370,+,29,53,38.56,0.5,0.533538,0.000047,DEIMOS 2011A,21.011,0.005
09,15,58.441,+,29,50,48.35,0.5,0.661427,0.000049,DEIMOS 2011A,21.115,0.008
09,15,58.559,+,29,47,57.90,0.5,0.087793,0.000009,DEIMOS 2011A,23.371,0.032
09,15,58.600,+,29,53,56.34,0.5,0.839650,0.000017,DEIMOS 2011A,23.292,0.030
09,15,58.614,+,29,50,30.55,0.5,0.538960,0.000028,DEIMOS 2011A,19.755,0.002
09,15,58.708,+,29,48,12.57,0.5,0.184347,0.000047,DEIMOS 2011A,21.419,0.008
09,15,58.765,+,29,54,59.04,0.5,0.536457,0.000021,DEIMOS 2011A,20.296,0.003
09,15,58.908,+,29,53,41.79,0.5,0.534575,0.000076,DEIMOS 2012B,20.527,0.004
09,15,58.922,+,29,54,49.22,0.5,0.537202,0.000036,DEIMOS 2011A,20.519,0.004
09,15,59.039,+,29,46,13.08,0.5,0.463337,0.000022,DEIMOS 2011A,20.330,0.003
09,15,59.041,+,29,49,27.00,0.5,0.897290,NULL,DEIMOS 2011A,24.758,0.089
09,15,59.095,+,29,51,33.50,0.5,0.932897,0.000012,DEIMOS 2011A,22.282,0.015
09,15,59.115,+,29,53,39.96,0.5,0.534721,0.000033,DEIMOS 2011A,20.691,0.005
09,15,59.143,+,29,48,52.64,0.5,0.454309,0.000006,DEIMOS 2011A,21.184,0.007
09,15,59.269,+,29,50,56.30,0.5,0.662388,0.000067,DEIMOS 2011A,22.036,0.015
09,15,59.301,+,29,49,14.05,0.5,0.540460,0.000023,DEIMOS 2011A,20.134,0.003
09,15,59.341,+,29,49,29.75,0.5,0.535538,0.000036,DEIMOS 2011A,20.764,0.006
09,15,59.356,+,29,56,38.15,1.27,0.354116,0.000014,DEIMOS 2011A,NULL,NULL
09,15,59.585,+,29,47,50.40,0.5,0.463844,0.000012,DEIMOS 2011A,20.517,0.004
09,15,59.617,+,29,46,14.91,0.5,0.322910,0.000107,DEIMOS 2011A,20.104,0.003
09,15,59.617,+,29,55,24.40,0.5,0.664791,0.000102,DEIMOS 2011A,21.131,0.009
09,15,59.886,+,29,46,15.74,1.27,0.901660,0.000107,DEIMOS 2011A,NULL,NULL
09,16,00.010,+,29,51,18.82,0.5,0.536830,0.000032,DEIMOS 2011A,23.208,0.042
09,16,00.078,+,29,46,16.48,0.5,0.896786,0.000068,DEIMOS 2011A,21.917,0.014
09,16,00.093,+,29,54,12.97,0.5,0.528007,0.000016,DEIMOS 2012B,22.757,0.021
